filename,classname,errornous_file,duplicate,parent_img,cross_duplicate,duplicate_class
Flying Birds/Beautiful-Flying-Birds-Desktop-Wallpapers12.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_90.jpg,Flying Birds,0,0,,0,
Flying Birds/img-0925_1.jpg,Flying Birds,0,0,,0,
Flying Birds/2422998311_15de9dd2df_n.jpg,Flying Birds,0,0,,0,
Flying Birds/images (96).jpg,Flying Birds,0,0,,0,
Flying Birds/flying-seagull-1586330.jpg,Flying Birds,0,0,,0,
Flying Birds/white-bird-50685.jpg,Flying Birds,0,0,,0,
Flying Birds/sea-bird-eagle-potton-burton-albatross-bird-flight-seabird-gulls-vulture-png-clip-art.png,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-3547871.jpeg,Flying Birds,0,0,,0,
Flying Birds/GettyImages-492773599-80e03f9.jpg,Flying Birds,0,0,,0,
Flying Birds/6027533863_32a11cb11a.jpg,Flying Birds,0,0,,0,
Flying Birds/500_F_267936278_98Gw3wBTblbAY9iCelPVmBD87mwxg4bf.jpg,Flying Birds,0,0,,0,
Flying Birds/45863589764_38742cedf3_n.jpg,Flying Birds,0,0,,0,
Flying Birds/Arctic_Tern_in_flight (1).jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_36.jpg,Flying Birds,0,0,,0,
Flying Birds/HD Birds wallpaper (10) copy.jpg,Flying Birds,0,0,,0,
Flying Birds/HWNDZhgawJ8a7304ZmqqvQHaE8.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-flying-sky-near-yamuna-river-delhi-india-morning-time-together-173783477.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-3559002.jpeg,Flying Birds,0,0,,0,
Flying Birds/migratory-birds-flying-shape-v-cloudy-sunset-sky-migratory-birds-flying-shape-v-cloudy-sunset-130394411.jpg,Flying Birds,0,0,,0,
Flying Birds/rY2w8eOe_7g.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcS30PYW7p_yhZdEVayQeFZXc5s9BxDKDLWxyw.jpg,Flying Birds,0,0,,0,
Flying Birds/Pictures-Of-Birds-Ready-To-Take-Off-Or-Fly-11.jpg,Flying Birds,0,0,,0,
Flying Birds/46942362651_3ea853503c_b.jpg,Flying Birds,0,0,,0,
Flying Birds/26019545102_b60abddd78_n.jpg,Flying Birds,0,0,,0,
Flying Birds/landscape-flying-birds-bird-migration-spring-autumn-against-sky-180771149.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcQSaKrlaXDYnDeGkfnLi1TwBQBP_TxuEmHX3Q.jpg,Flying Birds,0,0,,0,
Flying Birds/bYMUvgan5m2cvmlCha5rKQHaEK.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcQ96x2EDvHbhHk75QRR2oViWAX14lhfaCNFWA.jpg,Flying Birds,0,0,,0,
Flying Birds/14510661694_14b93d8737_n.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-4489930.jpeg,Flying Birds,0,0,,0,
Flying Birds/b4d37bd12ad2a7a98fe45b55c4fd526c.jpg,Flying Birds,0,0,,0,
Flying Birds/images96.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-flying-sky-few-attractive-pretty-blue-together-evening-time-83337570.jpg,Flying Birds,0,0,,0,
Flying Birds/20100908_albatrossflight.jpg,Flying Birds,0,0,,0,
Flying Birds/low-angle-shot-birds-flying-cloudy-sky-173290478.jpg,Flying Birds,0,0,,0,
Flying Birds/TG7ssWNNKIuafhyMWKsnvgHaJZ.jpg,Flying Birds,0,0,,0,
Flying Birds/Bird_Kite_Flying_in_Sky_Pics.jpg,Flying Birds,0,0,,0,
Flying Birds/il_340x270-2430430799_4qp6.jpg,Flying Birds,0,0,,0,
Flying Birds/images443.jpg,Flying Birds,0,0,,0,
Flying Birds/gannett-2834883__340.jpg,Flying Birds,0,0,,0,
Flying Birds/2572438707_707f5296d1_n.jpg,Flying Birds,0,0,,0,
Flying Birds/3780923047_b6d0884280_w.jpg,Flying Birds,0,0,,0,
Flying Birds/BGAne7f7iiJ6BRLdx9Fz7wHaFy.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_244.jpg,Flying Birds,0,0,,0,
Flying Birds/s3A_ZZ5h8ql6XXzC57u1WwHaI2.jpg,Flying Birds,0,0,,0,
Flying Birds/selective-focus-birds-flying-sky-order-to-return-his-own-nest-free-space-blue-174818177.jpg,Flying Birds,0,0,,0,
Flying Birds/12254853895_73c166fc0d_o.jpg,Flying Birds,0,0,,0,
Flying Birds/beautiful-shot-seashore-flock-birds-flying-clear-blue-sky-170654710.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcTO_HJ0C8n25_tQz3zgjXkI9aYRLh0S8zAXow.jpg,Flying Birds,0,0,,0,
Flying Birds/northern_ground_hornbill.jpg,Flying Birds,0,0,,0,
Flying Birds/image327.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0371.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcR_E9MU-Z-WidOPZM0JjzP4849gtObf2tkK0Q.jpg,Flying Birds,0,0,,0,
Flying Birds/5e5d625482ea255408e441a107c38d3c--sun-flowers-photographers0.jpg,Flying Birds,0,0,,0,
Flying Birds/images315.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-2111932.jpeg,Flying Birds,0,0,,0,
Flying Birds/images494.jpg,Flying Birds,0,0,,0,
Flying Birds/kingfisher_gpc_tcm9-160491.jpg,Flying Birds,0,0,,0,
Flying Birds/640px-ciconia-ciconia-01.jpg,Flying Birds,0,0,,0,
Flying Birds/3938159262_bb3e5fa489_m.jpg,Flying Birds,0,0,,0,
Flying Birds/105911618-one-of-the-most-common-birds-in-the-united-kingdom-the-seagull-.jpg,Flying Birds,0,0,,0,
Flying Birds/flying-birds-133937-4889847.jpg,Flying Birds,0,0,,0,
Flying Birds/41251799050_cdb99bea0b_w.jpg,Flying Birds,0,0,,0,
Flying Birds/african-sacred-ibis.jpg,Flying Birds,0,0,,0,
Flying Birds/photo-1592131848728-f32318bbefe1.jpg,Flying Birds,0,0,,0,
Flying Birds/4288750827_83beec5379_w.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_229.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-30986000.jpeg,Flying Birds,0,0,,0,
Flying Birds/20u3NbDbtPDPaL4WmQ6KcgHaEy.jpg,Flying Birds,0,0,,0,
Flying Birds/flying-seagull-bird-blue-sky-180748509.jpg,Flying Birds,0,0,,0,
Flying Birds/4d34f43aadc32f89c38c37493eed81170.jpg,Flying Birds,0,0,,0,
Flying Birds/47795196991_e89907aace_w.jpg,Flying Birds,0,0,,0,
Flying Birds/24187350004_52052cd622_w.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_149.jpg,Flying Birds,0,0,,0,
Flying Birds/16614564629_dd07760c3a_b.jpg,Flying Birds,0,0,,0,
Flying Birds/pelican_flying_overhead.jpg,Flying Birds,0,0,,0,
Flying Birds/163.jpeg,Flying Birds,0,0,,0,
Flying Birds/7564871678_c667752ef3_n.jpg,Flying Birds,0,0,,0,
Flying Birds/image333.jpg,Flying Birds,0,0,,0,
Flying Birds/28797457941_9c8d2a0e0f_n.jpg,Flying Birds,0,0,,0,
Flying Birds/flock-grey-birds-geese-flying-distance-high-blue-clear-sky-autumn-day-warmer-climes-163666818.jpg,Flying Birds,0,0,,0,
Flying Birds/37984292985_d4f34a5f2c_n.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0342.jpg,Flying Birds,0,0,,0,
Flying Birds/vertical-shot-flock-birds-flying-under-beautiful-cloudy-sky-177528287.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_249.jpg,Flying Birds,0,0,,0,
Flying Birds/JM3H_HAzqO0.jpg,Flying Birds,0,0,,0,
Flying Birds/8722197432_ca4146058c_b-958x462.jpg,Flying Birds,0,0,,0,
Flying Birds/many-pigeons-birds-flying-cloudy-sky-188291995.jpg,Flying Birds,0,0,,0,
Flying Birds/215.jpeg,Flying Birds,0,0,,0,
Flying Birds/cloudy-sky-silhouette-flying-birds-tranquil-scene-freedom-hope-motivation-concept-copy-space-183588368.jpg,Flying Birds,0,0,,0,
Flying Birds/44025375570_5d4384dbe8_w.jpg,Flying Birds,0,0,,0,
Flying Birds/121.jpeg,Flying Birds,0,0,,0,
Flying Birds/000228.jpg,Flying Birds,0,0,,0,
Flying Birds/yFQwSNr0JAYh664MtVVyTgHaE7.jpg,Flying Birds,0,0,,0,
Flying Birds/12632468763_be8d640621_w.jpg,Flying Birds,0,0,,0,
Flying Birds/43360696685_6141e18561_w.jpg,Flying Birds,0,0,,0,
Flying Birds/seabird-dual-screen-fly-bird-albatross-birds-samsung-jpg.jpg,Flying Birds,0,0,,0,
Flying Birds/43706796930_9df8ed8897_w.jpg,Flying Birds,0,0,,0,
Flying Birds/4170759213_5e7d92e243_n.jpg,Flying Birds,0,0,,0,
Flying Birds/141.jpeg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-2317904.jpeg,Flying Birds,0,0,,0,
Flying Birds/vZ5lpfuW_O8y9GKLRtExHwHaEK.jpg,Flying Birds,0,0,,0,
Flying Birds/6174635592_8c27419e72_b.jpg,Flying Birds,0,0,,0,
Flying Birds/Copy of 40-Fantastic-Pictures-of-Flying-Birds-12.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-1821692.jpeg,Flying Birds,0,0,,0,
Flying Birds/122315377-single-seagull-flying-in-a-blue-sky.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-flying-at-sunset-reva-steenbergen.jpg,Flying Birds,0,0,,0,
Flying Birds/image246.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_50.jpg,Flying Birds,0,0,,0,
Flying Birds/flight-bird-flying-162223.jpg,Flying Birds,0,0,,0,
Flying Birds/silhouette-flying-birds-paramotor-over-sea-sunset-sky-94157361.jpg,Flying Birds,0,0,,0,
Flying Birds/817cccab5651c288c0f433855e299191(1).jpg,Flying Birds,0,0,,0,
Flying Birds/5398096971_6047cca048_m.jpg,Flying Birds,0,0,,0,
Flying Birds/belted-kingfisher-in-invermere-c2a9-christopher-martin-7843.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-8908680.jpeg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcQFJtudehzjSyjctQFC9TAQ3hWw5qqo7orVYg.jpg,Flying Birds,0,0,,0,
Flying Birds/portrait-flying-northern-raven-corvus-corax-spread-wings-whit-natural-white-background-108501852.jpg,Flying Birds,0,0,,0,
Flying Birds/LyoxtauQpLY5ytCc8yCm4wHaE7.jpg,Flying Birds,0,0,,0,
Flying Birds/images59.jpg,Flying Birds,0,0,,0,
Flying Birds/528428773_8111734773_n.jpg,Flying Birds,0,0,,0,
Flying Birds/images (67).jpg,Flying Birds,0,0,,0,
Flying Birds/flying-birds-sky-sunset-cloudy-146464943.jpg,Flying Birds,0,0,,0,
Flying Birds/34417416384_94bc6d8b71_w.jpg,Flying Birds,0,0,,0,
Flying Birds/33368448582_1f71b91fda_n.jpg,Flying Birds,0,0,,0,
Flying Birds/image11.jpg,Flying Birds,0,0,,0,
Flying Birds/image213.jpg,Flying Birds,0,0,,0,
Flying Birds/images524.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0270.jpg,Flying Birds,0,0,,0,
Flying Birds/portrait-flying-northern-raven-corvus-corax-spread-wi-wings-white-background-108501898.jpg,Flying Birds,0,0,,0,
Flying Birds/o07KScCVWsXWFEg6zJVKHQHaEo.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0472.jpg,Flying Birds,0,0,,0,
Flying Birds/429774570_ae4b2448fd_n.jpg,Flying Birds,0,0,,0,
Flying Birds/32412894864_02c8dc65cf_n.jpg,Flying Birds,0,0,,0,
Flying Birds/bird-web-thumb.jpg,Flying Birds,0,0,,0,
Flying Birds/6820712804_bea36cf83f_n.jpg,Flying Birds,0,0,,0,
Flying Birds/images (65).jpg,Flying Birds,0,0,,0,
Flying Birds/flying-common-raven-picture-id1176812098.jpg,Flying Birds,0,0,,0,
Flying Birds/silhouettes-two-birds-flying-blue-sky-177537925.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-flying-red-sunset-sky-danube-delta-romanian-wild-life-159158073.jpg,Flying Birds,0,0,,0,
Flying Birds/39.jpeg,Flying Birds,0,0,,0,
Flying Birds/132.jpeg,Flying Birds,0,0,,0,
Flying Birds/5783864707_b59dd80b7e_n.jpg,Flying Birds,0,0,,0,
Flying Birds/104015403-american-avocets-flying-over-the-water-in-wisconsi.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-2850833.jpeg,Flying Birds,0,0,,0,
Flying Birds/28464542083_8918f15e87_m.jpg,Flying Birds,0,0,,0,
Flying Birds/caribbean-birds.jpg,Flying Birds,0,0,,0,
Flying Birds/30852028313_45b4dde546.jpg,Flying Birds,0,0,,0,
Flying Birds/animal_aves_bald_eagle_bird_bird_of_prey_crane_duck_600180.jpg,Flying Birds,0,0,,0,
Flying Birds/desktop-images-of-exotic-birds-download.jpg,Flying Birds,0,0,,0,
Flying Birds/5706718158_d6a54b1552_n.jpg,Flying Birds,0,0,,0,
Flying Birds/cathedral-church-saint-peter-against-blue-sky-flying-birds-view-spire-bottom-up-159783778.jpg,Flying Birds,0,0,,0,
Flying Birds/N69X0--fFFo.jpg,Flying Birds,0,0,,0,
Flying Birds/1215625844.jpg,Flying Birds,0,0,,0,
Flying Birds/images (23).jpg,Flying Birds,0,0,,0,
Flying Birds/14992108353_0dd80d1d66_n.jpg,Flying Birds,0,0,,0,
Flying Birds/7665450622_f06ec872f0_b.jpg,Flying Birds,0,0,,0,
Flying Birds/5210827914_876fe83669_b.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0449.jpg,Flying Birds,0,0,,0,
Flying Birds/39964817401_4c0b262248_n.jpg,Flying Birds,0,0,,0,
Flying Birds/Fastest_birds-949x475.jpg,Flying Birds,0,0,,0,
Flying Birds/105803108-one-of-the-most-common-birds-in-the-united-kingdom-the-seagull-.jpg,Flying Birds,0,0,,0,
Flying Birds/photo-1582909269243-c6814947bd20.jpg,Flying Birds,0,0,,0,
Flying Birds/black-headed-gull-immature-flight-from-above-_q8r1867-texel-.jpg,Flying Birds,0,0,,0,
Flying Birds/III0WT6mIsHRirn03uluXAHaEJ.jpg,Flying Birds,0,0,,0,
Flying Birds/149.jpeg,Flying Birds,0,0,,0,
Flying Birds/mountain_bluebird_7C2V4723.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcTOb4-TK3wqJyfpjq3rJ5yl7xx08CK2fib_ig.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0361.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-flying-to-home-colorful-sky-soft-cloud-background-146317518.jpg,Flying Birds,0,0,,0,
Flying Birds/_8306938.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_173.jpg,Flying Birds,0,0,,0,
Flying Birds/images - 2020-07-20T105738.025.jpg,Flying Birds,0,0,,0,
Flying Birds/7163952573_177d627028_n.jpg,Flying Birds,0,0,,0,
Flying Birds/38858452530_61325b733a_m.jpg,Flying Birds,0,0,,0,
Flying Birds/nature-animals-bird-sky-1564267.jpg,Flying Birds,0,0,,0,
Flying Birds/1000w_q95.jpg,Flying Birds,0,0,,0,
Flying Birds/asian-openbill-stork-birds-flying-over-sky-background-flying-bird-asian-openbill-stork-birds-oscitans-flying-182434213.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_110.jpg,Flying Birds,0,0,,0,
Flying Birds/Kingfisher_(Peter_Hunter).jpg,Flying Birds,0,0,,0,
Flying Birds/AvDmqO4k2Bg.jpg,Flying Birds,0,0,,0,
Flying Birds/low-angle-shot-flock-birds-flying-under-clear-blue-sky-173519616.jpg,Flying Birds,0,0,,0,
Flying Birds/jb0L5XNVibWbW1EeBeXIMAHaHa.jpg,Flying Birds,0,0,,0,
Flying Birds/images - 2020-07-20T105738.011.jpg,Flying Birds,0,0,,0,
Flying Birds/pMUgjZiSnArkIR4laIZVIwHaFY.jpg,Flying Birds,0,0,,0,
Flying Birds/3n8O67VBDY1cOMV1aukLlQHaEK.jpg,Flying Birds,0,0,,0,
Flying Birds/two-pelican-birds-flying-sky-above-ocean-two-pelican-birds-flying-together-sky-above-ocean-monterey-bay-182076733.jpg,Flying Birds,0,0,,0,
Flying Birds/many-birds-flying-sky-190861371.jpg,Flying Birds,0,0,,0,
Flying Birds/Black Drongo.JPG,Flying Birds,0,0,,0,
Flying Birds/ANd9GcSVlxOCvHNaCpNv6qleNVps3ogLBMUpjR8iRg.jpg,Flying Birds,0,0,,0,
Flying Birds/SThwM77WMQq4RWc0OrKuvQHaFj.jpg,Flying Birds,0,0,,0,
Flying Birds/34386580150_1498237391_m.jpg,Flying Birds,0,0,,0,
Flying Birds/MGDfmwOc4sJ6npjOvtp8UwHaEK.jpg,Flying Birds,0,0,,0,
Flying Birds/nice-cloudy-sky-flying-birds-can-use-as-background-birds-flying-cloudy-sky-lithuania-140273221.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0410.jpg,Flying Birds,0,0,,0,
Flying Birds/213957124_9a44869e2c_n.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-3260289.jpg,Flying Birds,0,0,,0,
Flying Birds/uqFWm4w_k98.jpg,Flying Birds,0,0,,0,
Flying Birds/79feb21fc20523a751572d7e297841f4--bird-boxes-bird-wings.jpg,Flying Birds,0,0,,0,
Flying Birds/2094340376_b047e8d137_m.jpg,Flying Birds,0,0,,0,
Flying Birds/iRhtgM7oFFSwZLyeDQEVbgHaE8.jpg,Flying Birds,0,0,,0,
Flying Birds/ca462c896f2c7edb129b5431ab7abf69.jpg,Flying Birds,0,0,,0,
Flying Birds/AB-Grey-Crowned-CraneW.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcQAkUeUaXtGwFMz2MN-6Rv9dlJfYxrVlMqdIw.jpg,Flying Birds,0,0,,0,
Flying Birds/9837103_727e9c3ae5_n.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-672250.jpeg,Flying Birds,0,0,,0,
Flying Birds/45633617204_f8a5fc0df2_n24.jpg,Flying Birds,0,0,,0,
Flying Birds/12536184655_4f19b0e833_w.jpg,Flying Birds,0,0,,0,
Flying Birds/4d71d8933a0f8e1b039870af38bd3c5d.jpg,Flying Birds,0,0,,0,
Flying Birds/f5b69f24d3a85e97d9dd885afe0e06bd.jpg,Flying Birds,0,0,,0,
Flying Birds/38.jpeg,Flying Birds,0,0,,0,
Flying Birds/seagulls-flying-blue-sky-birds-enjoying-freedom-birds-flying-sky-blue-sky-clouds-sunny-day-165166611.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-674804.jpg,Flying Birds,0,0,,0,
Flying Birds/many-birds-flying-up-cloud-sky-178126212.jpg,Flying Birds,0,0,,0,
Flying Birds/_6p8__82ryrmUUOenI7DbwHaE8.jpg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-9293830.jpeg,Flying Birds,0,0,,0,
Flying Birds/7519640662_beebc0a361_n.jpg,Flying Birds,0,0,,0,
Flying Birds/bird-flying-blue-sky-348x242.jpg,Flying Birds,0,0,,0,
Flying Birds/flying-birds-sky-flying-birds-sky-black-silhouettes-shapes-against-bright-sky-migration-birds-fall-108551402.jpg,Flying Birds,0,0,,0,
Flying Birds/images (51).jpg,Flying Birds,0,0,,0,
Flying Birds/images (82).jpg,Flying Birds,0,0,,0,
Flying Birds/Hm0x6g.jpg,Flying Birds,0,0,,0,
Flying Birds/GettyImages-910171646-c4c0a1b.jpg,Flying Birds,0,0,,0,
Flying Birds/240_F_278525414_jzLdPbgYf9cIhetimtcXhbWJAM4NndBM.jpg,Flying Birds,0,0,,0,
Flying Birds/cropped-GettyImages-179028137.jpg,Flying Birds,0,0,,0,
Flying Birds/Golden-Eagle-18.jpg,Flying Birds,0,0,,0,
Flying Birds/7188929611_a949d53731_b.jpg,Flying Birds,0,0,,0,
Flying Birds/flock-black-birds-flying-sky-empty-copy-space-text-flock-black-birds-flying-sky-102202179.jpg,Flying Birds,0,0,,0,
Flying Birds/null (25).jpeg,Flying Birds,0,0,,0,
Flying Birds/photo-of-a-hummingbird-3882092.jpg,Flying Birds,0,0,,0,
Flying Birds/9019199213_d11f587a37_n.jpg,Flying Birds,0,0,,0,
Flying Birds/image14.jpeg,Flying Birds,0,0,,0,
Flying Birds/pexels-photo-4018896.jpeg,Flying Birds,0,0,,0,
Flying Birds/low-angle-shot-flock-birds-flying-under-beautiful-clear-sky-181475815.jpg,Flying Birds,0,0,,0,
Flying Birds/images609.jpg,Flying Birds,0,0,,0,
Flying Birds/e52e697ca3660fafe74d98a91d0411b9.jpg,Flying Birds,0,0,,0,
Flying Birds/IMG_7305.jpg,Flying Birds,0,0,,0,
Flying Birds/images175.jpg,Flying Birds,0,0,,0,
Flying Birds/Pi5cQUcqkjdMs4V6TsGwbAHaE8 (1).jpg,Flying Birds,0,0,,0,
Flying Birds/drsalim_sanctuary_gallery_3-1.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-seagulls-flying-over-dark-cloudy-sky-sunny-beams-dull-166177012.jpg,Flying Birds,0,0,,0,
Flying Birds/gettyimages-547982293-170667a.jpg,Flying Birds,0,0,,0,
Flying Birds/7980213852_3c17b5c295_n.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0364.jpg,Flying Birds,0,0,,0,
Flying Birds/flying-birds-tree-sky-artwork-retro-style-111053547.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcRf5dnwuNyiYwt6q1wkNN2U67dJaGHYXCcNXA.jpg,Flying Birds,0,0,,0,
Flying Birds/14819273944_8798623d39_m.jpg,Flying Birds,0,0,,0,
Flying Birds/fb_img_0320.jpg,Flying Birds,0,0,,0,
Flying Birds/tJkXkYpZySvXhs9qOyPPpQHaFv.jpg,Flying Birds,0,0,,0,
Flying Birds/41892276171_fabb42a724_w.jpg,Flying Birds,0,0,,0,
Flying Birds/0RiVTIZFZcf21Q15cYUkWQHaEd.jpg,Flying Birds,0,0,,0,
Flying Birds/Bird-gliding-in-air1535.jpg,Flying Birds,0,0,,0,
Flying Birds/images725.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_71.jpg,Flying Birds,0,0,,0,
Flying Birds/birds-flying-sky-white-birds-flying-blue-sky-birds-flying-together-birds-flying-sky-white-birds-flying-164407124.jpg,Flying Birds,0,0,,0,
Flying Birds/Copy of 6IauwKfNDIs.jpg,Flying Birds,0,0,,0,
Flying Birds/image353.jpg,Flying Birds,0,0,,0,
Flying Birds/photo-1591160990067-64581e141684.jpg,Flying Birds,0,0,,0,
Flying Birds/IMG_0203.jpg,Flying Birds,0,0,,0,
Flying Birds/a085723875a9ddb0165da5e0d87610b8--raven-tattoo-a-tattoo.jpg,Flying Birds,0,0,,0,
"Flying Birds/1747 Jungle Crow Flight Jan 18, 2011-768637.jpg",Flying Birds,0,0,,0,
Flying Birds/image (37).jpeg,Flying Birds,0,0,,0,
Flying Birds/x0R0PAyjfhLeMcTl1uaTJwHaFb.jpg,Flying Birds,0,0,,0,
Flying Birds/flying-birds-sky-blue-tiles-flying-birds-clear-sky-blue-tiles-129763954.jpg,Flying Birds,0,0,,0,
Flying Birds/EagleImage_96.jpg,Flying Birds,0,0,,0,
Flying Birds/4288411776_21bcf84811_m.jpg,Flying Birds,0,0,,0,
Flying Birds/bfb46c78-0001-0004-0000-000000562843_w1528_r1.5423634336677814_fpx34.34_fpy54.97.jpg,Flying Birds,0,0,,0,
Flying Birds/ANd9GcQTZThq3JN2_jG4YSygi_t5DDheHDIhPIio2g.jpg,Flying Birds,0,0,,0,
Flying Birds/Pb6rxwjdbzjRzcNqaPZtOwHaEZ.jpg,Flying Birds,0,0,,0,
Flying Birds/40088315141_efc4093ebe.jpg,Flying Birds,0,0,,0,
